"GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted","rsi","sma","GSPC.Close.EMA.14","GSPC.Close.SMA.10"
1012.22998,1012.59998,994.59998,1004.09003,4940750000,1004.09003,62.9372969675317,1004.263996,62.9372969675317,1004.263996
998.17999,998.17999,978.51001,979.72998,4088570000,979.72998,50.9311908061976,1001.973994,50.9311908061976,1001.973994
980.62,991.20001,980.62,989.66998,4198970000,989.66998,54.7263701250419,1000.37599,54.7263701250419,1000.37599
986.88,999.60999,980.62,996.46002,4.257e+09,996.46002,57.163673734002,999.749995,57.163673734002,999.749995
996.40997,1008.91998,996.39001,1007.37,4893160000,1007.37,60.8139990108697,1000.778993,60.8139990108697,1000.778993
1009.06,1027.58997,1009.06,1026.13,5885550000,1026.13,66.1548382411538,1002.343995,66.1548382411538,1002.343995
1026.58997,1035.81995,1022.47998,1025.56995,6302450000,1025.56995,65.866222530548,1004.190992,65.866222530548,1004.190992
1026.63,1037.75,1026.20996,1028,5768740000,1028,66.5481706253869,1007.555994,66.5481706253869,1007.555994
1027.34998,1032.46997,1021.57001,1028.12,5080060000,1028.12,66.5836745513598,1009.786994,66.5836745513598,1009.786994
1027.81006,1033.32996,1016.20001,1030.97998,5785880000,1030.97998,67.4698287298907,1011.611994,67.4698287298907,1011.611994
1031.62,1039.46997,1023.13,1028.93005,5785780000,1028.93005,66.1164454302973,1014.095996,66.1164454302973,1014.095996
1025.20996,1025.20996,1014.62,1020.62,5004560000,1020.62,60.7927603428352,1018.184998,60.7927603428352,1018.184998
1019.52002,1028.44995,996.28003,998.03998,6862360000,998.03998,49.2002921881519,1019.021998,49.2002921881519,1019.021998
996.07001,1000.34003,991.96997,994.75,5842730000,994.75,47.7709329587764,1018.850996,47.7709329587764,1018.850996
996.12,1003.42999,992.25,1003.23999,4624280000,1003.23999,51.6727291693563,1018.437995,51.6727291693563,1018.437995
1003.84003,1016.47998,1001.65002,1016.40002,4097370000,1016.40002,57.0311896076089,1017.464997,57.0311896076089,1017.464997
1018.66998,1026.06995,1018.66998,1025.39001,5235160000,1025.39001,60.2718471856368,1017.447003,60.2718471856368,1017.447003
1025.35999,1036.33997,1023.96997,1033.37,5202550000,1033.37,62.9434541712158,1017.984003,62.9434541712158,1017.984003
1032.98999,1044.14001,1028.04004,1044.14001,5191380000,1044.14001,66.2428776340134,1019.586004,66.2428776340134,1019.586004
1043.92004,1048.18005,1038.40002,1042.72998,4922600000,1042.72998,65.4215977234797,1020.761004,65.4215977234797,1020.761004
